key,OUTLET_LATITUDE,OUTLET_LONGITUDE
248365,10.761773,106.6933645
252462,10.7898098,106.6901491
252756,10.7652156,106.6954763
253215,10.7671854,106.692834
253575,10.7709387,106.70312
253943,10.7704697,106.7034934
255994,10.7931608,106.6872322
257067,10.7709387,106.70312
260098,10.770539,106.6909213
261889,10.7667838,106.6903473
262681,10.7913183,106.6897091
263246,10.7579852,106.6895291
263357,10.7898098,106.6901491
263457,10.7943155,106.6908805
263893,10.7672176,106.6871792
264476,10.7930945,106.6872776
264822,10.7669355,106.6890138
267162,10.7650864,106.6983696
269615,10.7921692,106.69649
270424,10.7643111,106.6952884
270493,10.7694762,106.7021786
272537,10.7656013,106.6983218
273322,10.7667,106.689
274480,10.7595703,106.691906
276930,10.7729748,106.7026224
277534,10.7648,106.697
281541,10.7647,106.697
284580,10.7897825,106.6901738
284936,10.766853,106.6892401
286026,10.7924558,106.6964181
288031,10.7895374,106.698358
289795,10.7595703,106.691906
290903,10.7905,106.69
291133,10.7643554,106.6861829
291675,10.7649101,106.6974001
292663,10.7931887,106.6935788
294079,10.7623364,106.6874432
295241,10.7651606,106.6975658
296794,10.7840332,106.7003863
298040,10.7905,106.69
300285,10.7922294,106.6972908
302506,10.783964,106.700466
304250,10.7647459,106.6975358
305248,10.7894382,106.6901625
306174,10.7650948,106.6857924
307799,10.7894382,106.6901625
308194,10.7643996,106.6890352
311226,10.7931887,106.6935788
311550,10.7632272,106.6958503
313279,10.7651159,106.6983492
316041,10.7667603,106.6873274
316168,10.77,106.69
316597,10.7835862,106.7025557
316821,10.7894382,106.6901625
317834,10.7642061,106.6946073
318739,10.7730097,106.6981262
320043,10.7667878,106.6889294
320962,10.7643996,106.6890352
321806,10.7648343,106.6974904
323413,10.767385,106.6977331
324069,10.7668231,106.6889853
325211,10.7632272,106.6958503
326063,10.7924,106.697
326374,10.7635354,106.6892241
327059,10.7632272,106.6958503
327893,10.792481,106.6964428
328107,10.7667106,106.6870755
334243,10.7664504,106.6870255
334662,10.757735,106.6864142
335715,10.765017,106.6891534
